Date,Time (LST),Predicted (ft),Preliminary (ft),Verified (ft)
1/1/2013,0:00,0.124,-,0.27
1/1/2013,1:00,0.626,-,0.74
1/1/2013,2:00,0.984,-,1.09
1/1/2013,3:00,1.019,-,1.05
1/1/2013,4:00,0.689,-,0.64
1/1/2013,5:00,0.124,-,0.05
1/1/2013,6:00,-0.514,-,-0.68
1/1/2013,7:00,-1.062,-,-1.23
1/1/2013,8:00,-1.31,-,-1.38
1/1/2013,9:00,-1.11,-,-1.22
1/1/2013,10:00,-0.56,-,-0.66
1/1/2013,11:00,0.076,-,-0.04
1/1/2013,12:00,0.632,-,0.57
1/1/2013,13:00,1.105,-,1.2
1/1/2013,14:00,1.451,-,1.49
1/1/2013,15:00,1.502,-,1.54
1/1/2013,16:00,1.149,-,1.23
1/1/2013,17:00,0.48,-,0.63
1/1/2013,18:00,-0.32,-,-0.02
1/1/2013,19:00,-1.08,-,-0.87
1/1/2013,20:00,-1.602,-,-1.44
1/1/2013,21:00,-1.685,-,-1.65
1/1/2013,22:00,-1.316,-,-1.37
1/1/2013,23:00,-0.721,-,-0.77
1/2/2013,0:00,-0.133,-,-0.16
1/2/2013,1:00,0.395,-,0.52
1/2/2013,2:00,0.862,-,1.04
1/2/2013,3:00,1.138,-,1.24
1/2/2013,4:00,1.054,-,1.05
1/2/2013,5:00,0.613,-,0.62
1/2/2013,6:00,-0.023,-,0.01
1/2/2013,7:00,-0.682,-,-0.66
1/2/2013,8:00,-1.191,-,-1.12
1/2/2013,9:00,-1.349,-,-1.21
1/2/2013,10:00,-1.055,-,-0.89
1/2/2013,11:00,-0.462,-,-0.41
1/2/2013,12:00,0.16,-,0.1
1/2/2013,13:00,0.682,-,0.67
1/2/2013,14:00,1.114,-,1.01
1/2/2013,15:00,1.395,-,1.23
1/2/2013,16:00,1.353,-,1.11
1/2/2013,17:00,0.913,-,0.71
1/2/2013,18:00,0.203,-,-0.03
1/2/2013,19:00,-0.584,-,-0.89
1/2/2013,20:00,-1.272,-,-1.81
1/2/2013,21:00,-1.666,-,-2.22
1/2/2013,22:00,-1.597,-,-2.11
1/2/2013,23:00,-1.109,-,-1.61
1/3/2013,0:00,-0.46,-,-0.99
1/3/2013,1:00,0.138,-,-0.31
1/3/2013,2:00,0.659,-,0.29
1/3/2013,3:00,1.09,-,0.83
1/3/2013,4:00,1.28,-,0.96
1/3/2013,5:00,1.086,-,0.83
1/3/2013,6:00,0.551,-,0.29
1/3/2013,7:00,-0.142,-,-0.28
1/3/2013,8:00,-0.816,-,-0.92
1/3/2013,9:00,-1.296,-,-1.31
1/3/2013,10:00,-1.388,-,-1.27
1/3/2013,11:00,-1.035,-,-0.96
1/3/2013,12:00,-0.426,-,-0.43
1/3/2013,13:00,0.173,-,0.2
1/3/2013,14:00,0.667,-,0.76
1/3/2013,15:00,1.071,-,1.21
1/3/2013,16:00,1.299,-,1.37
1/3/2013,17:00,1.184,-,1.31
1/3/2013,18:00,0.69,-,0.87
1/3/2013,19:00,-0.03,-,0.28
1/3/2013,20:00,-0.781,-,-0.61
1/3/2013,21:00,-1.395,-,-1.32
1/3/2013,22:00,-1.674,-,-1.55
1/3/2013,23:00,-1.479,-,-1.41
1/4/2013,0:00,-0.902,-,-0.93
1/4/2013,1:00,-0.215,-,-0.22
1/4/2013,2:00,0.395,-,0.42
1/4/2013,3:00,0.913,-,1.08
1/4/2013,4:00,1.309,-,1.43
1/4/2013,5:00,1.419,-,1.47
1/4/2013,6:00,1.128,-,1.18
1/4/2013,7:00,0.517,-,0.62
1/4/2013,8:00,-0.223,-,-0.02
1/4/2013,9:00,-0.92,-,-0.72
